Date,Date,TimeDay,TestID,TestID2,TL_mm,mass_mg,Order_fish_flip,tank,temp_tolerance,Test,Tide,Tide2,Phys.cond,treatment,temp_treatment,Field_Lab,Temp_test_start,max.Env.Temp,min.Env.Temp,mean.Env.Temp,delta.T,Stat_Var
11/13/19,13-Nov,7:30:00,lab3,LAB-22,39,223,2,17,34.36,CTmax,NA,NA,NOTFED,MED,22,LAB,22.8,23,21,22,2,static
11/13/19,13-Nov,7:30:00,lab3,LAB-22,33,161,3,5,35.81,CTmax,NA,NA,NOTFED,MED,22,LAB,22.8,23,21,22,2,static
11/13/19,13-Nov,7:30:00,lab3,LAB-22,35,203,4,17,35.96,CTmax,NA,NA,NOTFED,MED,22,LAB,22.8,23,21,22,2,static
11/13/19,13-Nov,7:30:00,lab3,LAB-22,36,214,5,9,36.52,CTmax,NA,NA,NOTFED,MED,22,LAB,22.8,23,21,22,2,static
11/13/19,13-Nov,7:30:00,lab3,LAB-V2,37,216,6,12,36.78,CTmax,NA,NA,NOTFED,V2,V2,LAB,22.8,33,11,22,22,variable
11/13/19,13-Nov,7:30:00,lab3,LAB-V2,32,141,7,15,39.85,CTmax,NA,NA,NOTFED,V2,V2,LAB,22.8,33,11,22,22,variable
11/13/19,13-Nov,7:30:00,lab3,LAB-22,39,302,8,9,36.97,CTmax,NA,NA,NOTFED,MED,22,LAB,22.8,23,21,22,2,static
11/13/19,13-Nov,7:30:00,lab3,LAB-22,38,281,9,17,37.1,CTmax,NA,NA,NOTFED,MED,22,LAB,22.8,23,21,22,2,static
11/13/19,13-Nov,7:30:00,lab3,LAB-V2,34,236,10,15,37.38,CTmax,NA,NA,NOTFED,V2,V2,LAB,22.8,33,11,22,22,variable
11/13/19,13-Nov,7:30:00,lab3,LAB-22,35,228,11,17,37.58,CTmax,NA,NA,NOTFED,MED,22,LAB,22.8,23,21,22,2,static
11/13/19,13-Nov,7:30:00,lab3,LAB-22,39,283,12,5,37.65,CTmax,NA,NA,NOTFED,MED,22,LAB,22.8,23,21,22,2,static
11/13/19,13-Nov,7:30:00,lab3,LAB-V2,38,301,13,15,37.72,CTmax,NA,NA,NOTFED,V2,V2,LAB,22.8,33,11,22,22,variable
11/13/19,13-Nov,7:30:00,lab3,LAB-22,35,168,14,17,37.84,CTmax,NA,NA,NOTFED,MED,22,LAB,22.8,23,21,22,2,static
11/13/19,13-Nov,7:30:00,lab3,LAB-22,37,290,15,9,37.91,CTmax,NA,NA,NOTFED,MED,22,LAB,22.8,23,21,22,2,static
11/13/19,13-Nov,7:30:00,lab3,LAB-22,32,148,16,9,37.93,CTmax,NA,NA,NOTFED,MED,22,LAB,22.8,23,21,22,2,static
11/13/19,13-Nov,7:30:00,lab3,LAB-V2,39,278,17,7,38.05,CTmax,NA,NA,NOTFED,V2,V2,LAB,22.8,33,11,22,22,variable
